STATEFP,STATE,SLDUST,GEOID,NAMELSAD,Area,Perimeter,Polsby-Popper,Schwartzberg Radius,Schwartsberg Perimeter,Schwartzberg,Convex Hull Area,Area/Convex Hull,MBC Area,Reock
5,AR,12,5012,State Senate District 12,8292423031,867239.987,13.85518592,51376.67234,322808.8801,37.22255488,12950258610,64.03287595,33242318668,24.94538096
5,AR,13,5013,State Senate District 13,3562008990,515017.9371,16.87562237,33672.29772,211569.1076,41.07994933,5076642971,70.16465429,9078562051,39.23538739
5,AR,14,5014,State Senate District 14,1784275067,332851.3324,20.23814506,23831.76185,149739.2495,44.98682591,2516901666,70.89172734,4411337712,40.44748289
5,AR,15,5015,State Senate District 15,4242070295,596352.5199,14.98929617,36746.34748,230883.9156,38.71601241,6476478628,65.49964168,12573736203,33.73754807
5,AR,16,5016,State Senate District 16,5990608247,629110.1646,19.02072264,43667.73912,274372.2651,43.61275346,9710860013,61.6897807,17295869572,34.6360628
5,AR,17,5017,State Senate District 17,3503283597,383367.5348,29.95395193,33393.57341,209817.8326,54.73020366,4116280093,85.10799842,8586705006,40.79892804
5,AR,18,5018,State Senate District 18,8394127384,819680.0055,15.69988133,51690.77276,324782.4296,39.62307576,13811341369,60.77706111,21828770710,38.45442098
5,AR,19,5019,State Senate District 19,7069749837,610404.1973,23.8439675,47438.09826,298062.1102,48.83028518,9890422070,71.48076986,15942742402,44.34462816
5,AR,20,5020,State Senate District 20,5042986889,477673.7106,27.77375859,40065.37081,251737.9366,52.70081459,6291748346,80.15239344,12256326722,41.14598936
5,AR,21,5021,State Senate District 21,1058879759,186445.4863,38.27827835,18358.98091,115352.7817,61.86944185,1330281757,79.59815683,2519558189,42.0264062
5,AR,22,5022,State Senate District 22,5053393619,455727.9644,30.57604209,40106.68905,251997.5465,55.2956075,6382796767,79.17209029,13552270783,37.2881689
5,AR,23,5023,State Senate District 23,7097859486,711212.0433,17.63350683,47532.31273,298654.0767,41.99226933,10935291172,64.90782344,17562025298,40.4159507
5,AR,24,5024,State Senate District 24,3802418079,551287.6149,15.72218462,34790.06019,218592.2104,39.65121009,5342861528,71.1681944,12783231928,29.74535783
5,AR,25,5025,State Senate District 25,6208989473,777592.1099,12.90407059,44456.5451,279328.475,35.92223628,9914505144,62.62530891,16732976812,37.10630537
5,AR,26,5026,State Senate District 26,11069196401,751918.892,24.60274681,59358.55139,372960.4629,49.60115604,13144696779,84.21035941,16984404664,65.17270767
5,AR,27,5027,State Senate District 27,6854037489,863664.1657,11.54692039,46708.77579,293479.6459,33.98075983,11978378798,57.22007632,23937616663,28.63291524
5,AR,28,5028,State Senate District 28,6609706281,658863.5828,19.13377449,45868.68901,288201.2294,43.74217014,8832934372,74.8302433,16618172114,39.77396693
5,AR,29,5029,State Senate District 29,1309467240,307672.1312,17.38312349,20416.08974,128277.9667,41.69307315,1947277738,67.24604378,3633483068,36.03889755
5,AR,30,5030,State Senate District 30,818195008.2,192333.4446,27.79436162,16138.14673,101398.8808,52.72035813,1184024600,69.10287237,2122408172,38.5503137
5,AR,31,5031,State Senate District 31,141776833.1,68799.36915,37.63967425,6717.812569,42209.22558,61.35118112,174660050.9,81.17301712,275751567.8,51.414697
5,AR,32,5032,State Senate District 32,222094958,104179.9512,25.71460733,8408.036663,52829.2078,50.7095724,357045454.5,62.20355286,1067489021,20.80536228
5,AR,33,5033,State Senate District 33,664639998.4,193321.7062,22.34779774,14545.15936,91389.85441,47.27345739,994908049.8,66.80416331,2107107949,31.54275977
5,AR,34,5034,State Senate District 34,194815103.3,113998.008,18.83812156,7874.746074,49478.44704,43.40290493,332955691.3,58.51081942,749278776.7,26.00034985
5,AR,35,5035,State Senate District 35,684918567,189988.7995,23.84473167,14765.383,92773.55918,48.83106765,983042109.6,69.67337008,1736075432,39.45212024
4,AZ,1,4001,State Senate District 1,20715719209,879608.5537,33.64578186,81203.59471,510216.8022,58.00498415,24884306963,83.24812598,45219394841,45.81157992
4,AZ,2,4002,State Senate District 2,6476633791,538877.6711,28.02711925,45404.60666,285285.3165,52.9406453,8535857399,75.87560907,12469860000,51.93830396
4,AZ,3,4003,State Senate District 3,355995321.5,111850.0858,35.75865249,10645.04232,66884.717,59.79853886,449648330.6,79.17194335,727810197.7,48.91320878
4,AZ,4,4004,State Senate District 4,30658388852,1247817.709,24.74323819,98787.02602,620696.6661,49.74257552,41709746841,73.50413554,97951220750,31.29964958
4,AZ,5,4005,State Senate District 5,44178067482,1672968.001,19.83539909,118584.685,745088.9209,44.53694993,66550695703,66.382578,1.88877E+11,23.38985834
4,AZ,6,4006,State Senate District 6,26475509600,1739042.285,11.00103487,91800.99981,576802.206,33.167808,44847327884,59.0347538,88218930403,30.01114328
4,AZ,7,4007,State Senate District 7,95753685518,2885874.531,14.44807892,174583.4198,1096939.052,38.01062868,1.50058E+11,63.81114368,2.34672E+11,40.80326539
4,AZ,8,4008,State Senate District 8,10809741916,777650.4976,22.46238745,58658.76427,368563.5745,47.39450121,16191660089,66.76117122,28970810753,37.31252815
4,AZ,9,4009,State Senate District 9,237464656.4,93587.2619,34.07022443,8694.102116,54626.60854,58.36970484,301260983.3,78.82356814,585775744.3,40.53849254
